10      45  true  true
  0    41
  1    67
  2    34
  3     0
  4    69
  5    24
  6    78
  7    58
  8    62
  9    64
  0   3   27
  0   5   95
  0   6   27
  0   8    4
  0   9   53
  1   0   82
  1   7   71
  1   8   69
  2   6   22
  2   7   73
  2   8   41
  3   5   57
  3   6   59
  4   0   16
  4   1   90
  4   2   88
  4   3   40
  4   7   46
  4   8   90
  5   0   50
  5   2   93
  5   3   29
  5   4   84
  5   8   66
  6   0    8
  6   2   26
  6   3   37
  6   4   18
  6   5   29
  6   8   15
  6   9   58
  7   0   30
  7   1    6
  7   2   86
  8   4   90
  8   7   67
  8   9   74
  9   0   52
  9   2   41
  9   3   66
  9   4    7
  9   5    7
  9   6   57
  9   7   53
  9   8   45
